distance,error_rate,shots,rounds,logical_errors,ler_per_round,decode_time_us,defects_red,defects_green,defects_blue
3,0.001000,5000,3,90,6.000000e-3,0.02,38,52,38
3,0.003000,5000,3,291,1.940000e-2,0.02,127,151,128
3,0.005000,5000,3,473,3.153333e-2,0.02,221,222,211
3,0.010000,5000,3,873,5.820000e-2,0.03,427,435,422
5,0.001000,5000,5,471,1.884000e-2,0.03,195,230,220
5,0.003000,5000,5,1226,4.904000e-2,0.04,603,676,603
5,0.005000,5000,5,1703,6.812000e-2,0.07,982,1129,1002
5,0.010000,5000,5,2472,9.888000e-2,0.16,1984,2198,1996
7,0.001000,5000,7,1273,3.637143e-2,0.04,612,533,562
7,0.003000,5000,7,2537,7.248571e-2,0.12,1812,1684,1591
7,0.005000,5000,7,3162,9.034286e-2,0.20,3019,2796,2673
7,0.010000,5000,7,3689,1.054000e-1,0.43,5971,5570,5454
