distance,physical_p,rounds,shots,x_errors,z_errors,combined_errors,x_ler,z_ler,combined_ler,x_decode_us,z_decode_us,total_decode_us
3,0.001000,3,5000,53,49,102,3.533333e-3,3.266667e-3,6.800000e-3,0.035,0.035,0.071
3,0.003000,3,5000,161,171,326,1.073333e-2,1.140000e-2,2.173333e-2,0.049,0.040,0.089
3,0.005000,3,5000,257,282,519,1.713333e-2,1.880000e-2,3.460000e-2,0.044,0.045,0.089
3,0.010000,3,5000,502,520,962,3.346667e-2,3.466667e-2,6.413333e-2,0.059,0.060,0.119
5,0.001000,5,5000,168,207,373,6.720000e-3,8.280000e-3,1.492000e-2,0.081,0.071,0.151
5,0.003000,5,5000,515,550,1017,2.060000e-2,2.200000e-2,4.068000e-2,0.109,0.108,0.217
5,0.005000,5,5000,810,868,1537,3.240000e-2,3.472000e-2,6.148000e-2,0.160,0.156,0.315
5,0.010000,5,5000,1357,1408,2379,5.428000e-2,5.632000e-2,9.516000e-2,0.278,0.278,0.556
7,0.001000,7,5000,494,509,958,1.411429e-2,1.454286e-2,2.737143e-2,0.157,0.155,0.312
7,0.003000,7,5000,1253,1243,2193,3.580000e-2,3.551429e-2,6.265714e-2,0.429,0.436,0.865
7,0.005000,7,5000,1677,1696,2807,4.791429e-2,4.845714e-2,8.020000e-2,0.685,0.683,1.368
7,0.010000,7,5000,2264,2271,3519,6.468571e-2,6.488571e-2,1.005429e-1,1.188,1.191,2.380
9,0.001000,9,5000,891,887,1631,1.980000e-2,1.971111e-2,3.624444e-2,0.426,0.425,0.851
9,0.003000,9,5000,1840,1829,2979,4.088889e-2,4.064444e-2,6.620000e-2,1.077,1.072,2.149
9,0.005000,9,5000,2263,2225,3489,5.028889e-2,4.944444e-2,7.753333e-2,1.733,1.747,3.480
9,0.010000,9,5000,2482,2447,3695,5.515556e-2,5.437778e-2,8.211111e-2,3.031,3.099,6.130
