distance,physical_p,window_size,rounds,shots,logical_errors,ler_per_round,ler_ci_low,ler_ci_high,ingest_avg_us,commit_avg_us,flush_per_round_us,total_decode_us,time_per_round_us,memory_bytes
5,0.001000,3,5,5000,383,1.532000e-2,1.387024e-2,1.691869e-2,0.055,0.016,0.050,0.682,0.136,2784
5,0.003000,3,5,5000,1021,4.084000e-2,3.845629e-2,4.336481e-2,0.071,0.016,0.051,0.748,0.150,2784
5,0.005000,3,5,5000,1515,6.060000e-2,5.770931e-2,6.362571e-2,0.086,0.017,0.053,0.812,0.162,2784
5,0.010000,3,5,5000,2393,9.572000e-2,9.213484e-2,9.942939e-2,0.118,0.016,0.058,0.981,0.196,2784
7,0.001000,3,7,5000,745,2.128571e-2,1.982528e-2,2.285123e-2,0.170,0.016,0.150,2.001,0.286,8756
7,0.003000,3,7,5000,1767,5.048571e-2,4.824084e-2,5.282926e-2,0.256,0.015,0.158,2.609,0.373,8756
7,0.005000,3,7,5000,2451,7.002857e-2,6.740190e-2,7.274962e-2,0.339,0.015,0.177,3.229,0.461,8756
7,0.010000,3,7,5000,3217,9.191429e-2,8.893215e-2,9.498599e-2,0.486,0.015,0.208,4.362,0.623,8756
9,0.001000,3,9,5000,1187,2.637778e-2,2.493703e-2,2.789939e-2,0.362,0.016,0.157,4.224,0.469,9316
9,0.003000,3,9,5000,2485,5.522222e-2,5.314950e-2,5.737087e-2,0.636,0.016,0.188,6.765,0.752,9316
9,0.005000,3,9,5000,3079,6.842222e-2,6.612618e-2,7.079195e-2,0.767,0.016,0.210,8.017,0.891,9316
9,0.010000,3,9,5000,3612,8.026667e-2,7.779192e-2,8.281308e-2,0.904,0.017,0.246,9.382,1.042,9316
13,0.001000,3,13,5000,2073,3.189231e-2,3.056889e-2,3.327106e-2,0.968,0.017,0.484,14.803,1.139,55556
13,0.003000,3,13,5000,3351,5.155385e-2,4.988024e-2,5.328046e-2,1.646,0.016,0.571,23.819,1.832,55556
13,0.005000,3,13,5000,3634,5.590769e-2,5.416758e-2,5.770029e-2,2.026,0.016,0.628,28.945,2.227,55556
13,0.010000,3,13,5000,3725,5.730769e-2,5.554685e-2,5.912085e-2,2.448,0.016,0.692,34.627,2.664,55556
